PERIOD	SM0	SM1	SM2	SM3	SM4	SM5	L2	MC1	MC2	MC3
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	1.780000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	8.089166e+00	7.830287e+00	7.799539e+00	7.675869e+00	7.641782e+00	7.616354e+00	9.420295e-02	3.925530e-02	3.925530e-02	3.925530e-02
2.7639579878e-07	6.535642e+00	5.829877e+00	5.579690e+00	5.756648e+00	5.978217e+00	5.719797e+00	8.923182e-02	1.198857e+00	1.198857e+00	1.198857e+00
2.7639579878e-07	9.123777e+00	9.040420e+00	8.745067e+00	8.747927e+00	8.812479e+00	8.849712e+00	0.000000e+00	6.673401e-02	6.673401e-02	6.673401e-02
2.7639579878e-07	7.878542e+00	8.256896e+00	8.445869e+00	8.278251e+00	8.201165e+00	8.168757e+00	9.420295e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.7639579878e-07	8.459325e+00	8.764167e+00	8.789321e+00	8.870889e+00	8.774517e+00	8.942888e+00	2.105274e-01	1.884254e-02	1.884254e-02	1.884254e-02
2.7639579878e-07	7.550521e+00	7.575857e+00	7.764881e+00	7.589698e+00	7.719596e+00	7.381479e+00	1.441628e-01	3.815615e-01	3.815615e-01	3.815615e-01
2.7639579878e-07	8.297972e+00	8.373344e+00	8.670800e+00	8.510637e+00	8.407859e+00	8.263717e+00	1.615618e-01	4.286679e-01	4.286679e-01	4.286679e-01
2.7639579878e-07	8.099836e+00	8.265651e+00	7.887446e+00	8.423946e+00	8.797433e+00	8.260027e+00	4.548586e-02	2.669360e-01	2.669360e-01	2.669360e-01
2.7639579878e-07	8.935576e+00	8.967457e+00	8.575989e+00	8.469931e+00	7.551680e+00	8.848289e+00	1.807006e-01	1.240467e-01	1.240467e-01	1.240467e-01
2.7639579878e-07	7.983037e+00	7.662746e+00	8.366292e+00	7.871909e+00	8.522689e+00	8.232838e+00	1.642959e-01	2.308212e-01	2.308212e-01	2.308212e-01
2.7639579878e-07	7.970724e+00	8.264591e+00	8.267681e+00	8.314136e+00	8.519899e+00	7.845899e+00	1.426715e-01	3.933381e-01	3.933381e-01	3.933381e-01
